省市	工商	国土	外汇	社保	公积金	劳动	中国人民银行	银保监会	中国人民银行地方支行	银保监会地方局
江苏省	http://www.jiangsu.gov.cn/jrobot/search.do?q={}&pg=10&p=1&tpl=2&category=&webid=79&x=0&y=0	http://zrzy.jiangsu.gov.cn/search/index.jsp?keyword={}&siteid=1&orderby=update	https://www.safe.gov.cn/jiangsu/search/index.html?q={}&siteid=jiangsu&order=releasetime	http://www.jiangsu.gov.cn/jrobot/search.do?pg=10&p=1&tpl=34&category=&webid=67&od=1&q={}	http://www.jiangsu.gov.cn/jrobot/search.do?tpl=2&q={}&webid=15&pg=&p=1&category=	不需要	没找到可以打「」的地方http://wzdig.pbc.gov.cn:8080/search/pcRender?pageId=fa445f64514c40c68b1c8ffe859c649e	https://www.cbirc.gov.cn/cn/view/pages/index/jiansuo.html?keyWords={}	http://nanjing.pbc.gov.cn/nanjing/117542/117560/117567/index.html	https://www.cbirc.gov.cn/branch/jiangsu/view/pages/index/jiansuo.html?keyWords={}
江西省	http://sousuo.jiangxi.gov.cn/jsearchfront/search.do?websiteid=360000000003000&tpl=7&q={}&searchword=&btn=%E6%90%9C+%E7%B4%A2	http://sousuo.jiangxi.gov.cn/jsearchfront/search.do?websiteid=360000000192000&tpl=26&category=&q={}&x=0&y=0	https://www.safe.gov.cn/jiangxi/search/index.html?q={}&siteid=jiangxi&order=releasetime	http://rst.jiangxi.gov.cn/search1.jspx?q={}&startDate=&endDate=&txt=1&channelId=	http://www.jxzfgjj.com/key_{}/search.shtml	不需要	/	https://www.cbirc.gov.cn/cn/view/pages/index/jiansuo.html?keyWords={}	http://nanchang.pbc.gov.cn/nanchang/132372/132390/132397/index.html	https://www.cbirc.gov.cn/branch/jiangxi/view/pages/index/jiansuo.html?keyWords={}
北京市	http://scjgj.beijing.gov.cn/so/s?tab=all&siteCode=1100000065&qt={}	http://ghzrzyw.beijing.gov.cn/so/s?siteCode=1100000049&tab=all&qt={}	https://www.safe.gov.cn/beijing/search/index.html?q={}&siteid=beijing&order=releasetime	http://rsj.beijing.gov.cn/so/s?tab=all&siteCode=1100000062&qt={}	http://gjj.beijing.gov.cn/so/s?qt={}&siteCode=1100000241&tab=all&toolsStatus=1	不需要	/	https://www.cbirc.gov.cn/cn/view/pages/index/jiansuo.html?keyWords={}	http://beijing.pbc.gov.cn/beijing/132030/132052/132059/index.html	https://www.cbirc.gov.cn/branch/beijing/view/pages/index/jiansuo.html?keyWords={}
广东省	http://amr.gd.gov.cn/zwgk/sgs/xzcf/index.html	https://search.gd.gov.cn/search/all/153?keywords={}	https://www.safe.gov.cn/guangdong/search/index.html?q={}&siteid=guangdong&order=releasetime	http://search.gd.gov.cn/search/all/186?queryScope=&timeScope=&pageNo=1&keywords={}	https://search.gd.gov.cn/search/all/200053?a=local&c=index&keywords={}	不需要	/	https://www.cbirc.gov.cn/cn/view/pages/index/jiansuo.html?keyWords={}	http://guangzhou.pbc.gov.cn/guangzhou/129142/129159/129166/index.html	https://www.cbirc.gov.cn/branch/guangdong/view/pages/index/jiansuo.html?keyWords={}
安徽省	http://amr.ah.gov.cn/site/search/31401332?oldKeywords=&keywords=%E5%93%88%E5%93%88&beginDate=&endDate=&fromCode=&typeCode=articleNews%2CpictureNews%2CvideoNews%2CpolicyDoc%2CexplainDoc%2CmessageBoard%2CinterviewInfo%2CcollectInfo%2Csurvey%2Cpublic_content&siteId=31401332&isAllSite=false&platformCode=anhui_szbm_6&sort=intelligent&keywords={}	http://zrzyt.ah.gov.cn/site/search/49631951?oldKeywords=&keywords=%E5%98%BF%E5%98%BF&beginDate=&endDate=&orderType=1&sort=desc&fromCode=&typeCode=articleNews%2CpictureNews%2CvideoNews%2CpolicyDoc%2CexplainDoc%2CmessageBoard%2CinterviewInfo%2CcollectInfo%2Csurvey%2Cpublic_content&siteId=49631951&isAllSite=false&platformCode=anhui_szbm_6&sort=desc&keywords={}	https://www.safe.gov.cn/anhui/search/index.html?q={}&siteid=anhui&order=releasetime	http://hrss.ah.gov.cn/site/search/6784211?oldKeywords=&keywords=%E5%93%88%E5%93%88%E5%93%88&beginDate=&endDate=&fromCode=&typeCode=&siteId=6784211&isAllSite=false&platformCode=anhui_szbm_1&sort=intelligent&keywords={}	http://sgj.ah.gov.cn/provident-manage/home/news-search?searchVal={}	不需要	/	https://www.cbirc.gov.cn/cn/view/pages/index/jiansuo.html?keyWords={}	http://hefei.pbc.gov.cn/hefei/122364/122382/122389/index.html	https://www.cbirc.gov.cn/branch/anhui/view/pages/index/jiansuo.html?keyWords={}
山东省	http://amr.shandong.gov.cn/jsearchfront/search.do?pagemode=result&appid=1&od=1&websiteid=370000000000057&tpl=109&q={}&webid=67&style=1&ck=0&pos=title%2Ccontent	http://dnr.shandong.gov.cn/was5/web/search?channelid=207026&perpage=&token=64.1576745705194.74&templet=&searchword={}	https://www.safe.gov.cn/shandong/search/index.html?q={}&siteid=shandong&order=releasetime	http://hrss.shandong.gov.cn/channels/ch05821/?content={}	http://zjt.shandong.gov.cn/jsearchfront/search.do?pagemode=result&appid=all&style=1&ck=0&pos=title%2Ccontent%2C_default_search&od=0&webid=14&tpl=102&websiteid=370000000000007&q={}&submit=	不需要	/	https://www.cbirc.gov.cn/cn/view/pages/index/jiansuo.html?keyWords={}	http://jinan.pbc.gov.cn/jinan/120967/120985/120994/index.html	https://www.cbirc.gov.cn/branch/shandong/view/pages/index/jiansuo.html?keyWords={}
抚州市	http://fzscj.jxfz.gov.cn/jrobot/search.do?webid=32&pg=12&p=1&tpl=155&category=&q={}&pos=title%2Ccontent&od=0&date=&date=	http://bnr.jxfz.gov.cn/jrobot/search.do?q={}&webid=62&tpl=476	江西省分局	http://rsj.jxfz.gov.cn/jrobot/search.do?q={}&webid=47&tpl=162&pagemode=result&ck=o&od=0	http://www.fzgjj.com.cn/search/searchResultGJ.jsp?q={}&site_id=CMSfzgjj	不需要	/	/	江西省分局	江西省分局
赣江新区	无搜索栏	无搜索栏	无搜索栏	无搜索栏	无搜索栏	无搜索栏	/	/		
赣州市	http://apps.ganzhou.gov.cn/szfsearchweb/search/rsjsearch	搜索栏无法使用	江西省分局	http://www.gzszfgjj.com/search.jspx?q={}	http://www.gzszfgjj.com/search.jspx?q={}	不需要	/	/		
广州市	https://search.gd.gov.cn/search/all/200039?keywords=%E4%B9%9D%E6%B1%9F%E9%93%B6%E8%A1%8C%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8	https://search.gd.gov.cn/search/all/200026?keywords={}	广东省分局	https://search.gd.gov.cn/search/all/200025?database=all&keywords={}&noTools=true&siteCode=&token=7607	http://search.gd.gov.cn/search/local_msg/200053?c=index&a=local&keywords={}	不需要	/	/		
